Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","SMD-0805",-94.6150,150.1140,-90.0000,bottom
"C2","10uF","SMD-0805",-91.8210,150.1140,-90.0000,bottom
"D1","BZV55C-3,6V","Diode-MiniMELF_Standard",-91.0590,145.6690,90.0000,bottom
"R1","10k","SMD-0805",-94.1070,167.7670,180.0000,bottom
"R2","10k","SMD-0805",-97.7900,167.7670,0.0000,bottom
"R3","0R","SMD-0805",-97.5360,147.8280,0.0000,bottom
"R4","10k","SMD-0805",-90.4240,154.3050,90.0000,bottom
"R5","-","SMD-0805",-97.5360,150.2410,180.0000,bottom
"R6","10k","SMD-0805",-100.0760,145.6690,180.0000,bottom
"R7","10k","SMD-0805",-94.9960,145.6690,0.0000,bottom
"U1","SC18IS602B","TSSOP-16",-95.9739,156.4386,0.0000,bottom
